country_name,ep_start,ep_end,outcome_label,prch_label,bermeo_category_primary,bermeo_category_secondary,precise_start_date,precise_end_date,precipitating_event,consequential_events,description,confidence,source_url
Argentina,1962,1962,Autocracy deepening,No,Open-ended coup,NA,March 1962,1962,"After the ruling Radicals lost heavily to Peronist-backed candidates in March 1962 provincial elections, army officers annulled the elections and forced elected President Arturo Frondizi from office and into detention on 29 March 1962.","Senate President Jose Maria Guido was installed as a provisional civilian president under military tutelage; his government kept the Peronist party proscribed from politics, continuing through the 1963 elections.","Army officers annulled provincial elections showing Peronist gains and ousted elected President Frondizi, installing a military-controlled civilian figurehead and continuing the proscription of Peronism.",High,https://en.wikipedia.org/wiki/Arturo_Frondizi
Republic of the Congo,1962,1968,Autocracy deepening,No,Executive aggrandizement,Open-ended coup,August 1962,September 1968,"Building on a March 1961 constitution stripping the National Assembly of its power to unseat the government, President Fulbert Youlou announced in August 1962 plans to merge Congo's parties into a single ruling party.","Youlou's push for one-party rule triggered a popular uprising forcing his resignation in 1963; successor Alphonse Massamba-Debat declared one-party rule by July 1964, before he too was overthrown by the military on 4 September 1968.","The Republic of Congo's brief pluralist period gave way to entrenched one-party autocracy across the 1960s, culminating in a 1968 military coup installing Ngouabi's Marxist-Leninist regime.",Medium,https://en.wikipedia.org/wiki/Fulbert_Youlou; https://en.wikipedia.org/wiki/Alphonse_Massamba-Debat
Greece,1962,1968,Autocracy deepening,No,Election-day fraud,Open-ended coup,29 October 1961,September 1968,"The 1961 Greek legislative election was marred by widespread fraud and intimidation orchestrated by the army and ""parakratos"" deep-state network under a plan codenamed ""Pericles,"" becoming known as the ""elections of violence and fraud.""","The 1965 royal Apostasia crisis destabilized parliamentary rule; on 21 April 1967 colonels led by Papadopoulos seized power in a coup, and the junta cemented its rule via a controlled September 1968 constitutional referendum.","Greece's slide into military dictatorship began with the fraudulent 1961 election and the political paralysis it caused, culminating in the 21 April 1967 coup by right-wing colonels who abolished parliamentary democracy.",Medium,https://en.wikipedia.org/wiki/1961_Greek_legislative_election; https://en.wikipedia.org/wiki/Greek_military_junta_of_1967-74
Central African Republic,1963,1966,Autocracy deepening,No,Executive aggrandizement,Open-ended coup,December 1963,1 January 1966,"In December 1963 the CAR's National Assembly formally adopted a constitutional amendment entrenching a strong seven-year presidency, followed by Dacko's unopposed re-election on 5 January 1964.","On the night of 31 December 1965/1 January 1966, army commander Jean-Bedel Bokassa staged the bloodless Saint-Sylvestre coup, invalidating the 1959 constitution and dissolving the National Assembly.","David Dacko converted the CAR into a one-party state, entrenching presidential power via constitutional amendment; this executive aggrandizement set the stage for Bokassa's New Year's Eve 1965 coup.",Medium,https://en.wikipedia.org/wiki/Saint-Sylvestre_coup_d'etat
Syria,1963,1970,Autocracy deepening,No,Open-ended coup,NA,8 March 1963,13 November 1970,"On 8 March 1963, the clandestine Military Committee of the Syrian Ba'ath Party seized power in the ""March 8 Revolution"" coup, ending Syria's post-colonial democratic experimentation and purging 90% of the officer corps.","Intra-Ba'athist rivalry produced further upheavals; on 13 November 1970 Defense Minister Hafez al-Assad staged the bloodless ""Corrective Movement"" coup against Salah Jadid, later purging the ""Old Guard"" and consolidating durable personal dictatorship.","Beginning with the March 1963 Ba'athist coup, Syria underwent a chain of military coups and purges that eliminated its brief democratic era, ending with Hafez al-Assad's November 1970 Corrective Movement establishing the durable Assad-family dictatorship.",High,https://en.wikipedia.org/wiki/1963_Syrian_coup_d'etat; https://en.wikipedia.org/wiki/Corrective_Movement_(Syria)
Togo,1963,1968,Autocracy deepening,No,Open-ended coup,NA,13 January 1963,14 April 1967,"On 13 January 1963, former French army NCOs led by Emmanuel Bodjolle, Etienne Eyadema, and Kleber Dadjo seized government buildings in Lome and assassinated President Sylvanus Olympio.","The 1963 plotters installed civilian Nicolas Grunitzky, but on 13 January 1967 Eyadema staged a second coup ousting Grunitzky, banning parties and suspending the constitution; he formally assumed the presidency 14 April 1967.","Togo's first president was assassinated in a 1963 military coup that installed a civilian government, itself toppled in a 1967 coup by Eyadema, who became president in April 1967, entrenching decades of one-man military rule.",High,https://en.wikipedia.org/wiki/1963_Togolese_coup_d'etat; https://en.wikipedia.org/wiki/1967_Togolese_coup_d'etat
Uruguay,1963,1974,Democratic breakdown,Yes,Executive coup,Executive aggrandizement,June 1968,27 June 1973,"President Jorge Pacheco Areco declared a state of emergency in June 1968 amid unrest over his wage/price freeze, beginning a pattern of rule-by-emergency-decree against labor and the Tupamaros.","On 27 June 1973 President Juan Maria Bordaberry dissolved the General Assembly, suspended the constitution, banned trade unions, and ruled by decree with a military-dominated National Security Council, inaugurating the 1973-1985 civic-military dictatorship.","Beginning with Pacheco Areco's emergency security powers against labor unrest in the late 1960s, Uruguay's elected government progressively ceded authority to the military, completed by Bordaberry's June 1973 self-coup dissolving Congress.",Medium,https://en.wikipedia.org/wiki/1973_Uruguayan_coup_d'etat; https://en.wikipedia.org/wiki/Juan_Maria_Bordaberry
Republic of Vietnam,1963,1964,Autocracy deepening,No,Open-ended coup,NA,1-2 November 1963,30 January 1964,"On 1-2 November 1963, ARVN generals led by Duong Van Minh, with CIA foreknowledge, launched a coup that arrested and summarily executed President Ngo Dinh Diem and his brother Ngo Dinh Nhu, ending Diem's autocratic family rule amid the Buddhist crisis.","The Minh-led junta proved unstable; before dawn on 30 January 1964, General Nguyen Khanh staged a bloodless coup ousting Minh's junta without firing a shot.","South Vietnam's autocratic trajectory deepened when a CIA-backed coup killed President Diem in November 1963, replacing his personalist dictatorship with a military junta that was itself overthrown within three months.",High,https://en.wikipedia.org/wiki/Arrest_and_assassination_of_Ngo_Dinh_Diem; https://en.wikipedia.org/wiki/January_1964_South_Vietnamese_coup
Benin,1964,1966,Autocracy deepening,No,Open-ended coup,Other/unclear,27 November 1965,22 December 1965,"General Christophe Soglo, who first seized power in an October 1963 coup before handing the presidency to civilian leader Sourou-Migan Apithy in January 1964, staged a second coup on 27 November 1965 removing the fractious Apithy-Ahomadegbe power-sharing government.","A caretaker presidency under Tahirou Congacou gave way when Soglo formally installed himself as President of Dahomey on 22 December 1965, ruling through a military government until younger officers ousted him in December 1967.","Dahomey's fragile post-1963 civilian coalition collapsed under mutual distrust, prompting army chief Soglo to seize power outright in November 1965 rather than merely broker a transition as in 1963.",Medium,https://en.wikipedia.org/wiki/Christophe_Soglo
Bolivia,1964,1965,Autocracy deepening,No,Open-ended coup,NA,3 November 1964,1965,"Vice President Rene Barrientos and Army commander Alfredo Ovando Candia launched a military uprising on 3 November 1964; by the evening all major military units backed the coup, and President Victor Paz Estenssoro was forced into exile in Lima.","Barrientos and Ovando ruled jointly as a military junta through 1965, suppressing striking miners and leftist opposition, entrenching military control that persisted until Barrientos's death in a 1969 helicopter crash.","Vice President Barrientos turned against President Paz Estenssoro alongside army chief Ovando amid escalating labor unrest, launching an open military uprising that exiled the elected president within 24 hours.",High,https://en.wikipedia.org/wiki/1964_Bolivian_coup_d'etat
Brazil,1964,1965,Autocracy deepening,No,Open-ended coup,Executive aggrandizement,31 March 1964,27 October 1965,"General Olimpio Mourao Filho launched a military rebellion in Minas Gerais on 31 March 1964; within two days the military controlled the country, Congress declared the presidency vacant, and President Joao Goulart went into exile on 4 April.","Congress installed coup leader General Humberto Castelo Branco as president; Institutional Act No. 2, issued 27 October 1965, abolished all existing political parties and imposed indirect elections, cementing military-dominated rule.","A military rebellion against elected President Goulart escalated into a full ouster within days, installing a military-controlled presidency that within 18 months dissolved the party system entirely, launching the 1964-1985 military dictatorship.",High,https://en.wikipedia.org/wiki/1964_Brazilian_coup_d'etat
Dominican Republic,1964,1964,Autocracy deepening,No,Other/unclear,Executive aggrandizement,27 June 1964,31 December 1964,"The last remaining civilian member of the 1963 Triumvirate, Manuel Enrique Tavares Espaillat, resigned on 27 June 1964 amid continued repression of supporters of ousted elected president Juan Bosch, leaving Donald Reid Cabral as unelected de facto ruler.","Reid Cabral governed by decree for the remainder of 1964 without any election in prospect, imposing unpopular austerity measures and purging military officers not personally loyal to him.","Following the 1963 coup that overthrew Bosch, the ruling civilian junta disintegrated in 1964, leaving Reid Cabral as sole de facto strongman by controlling the security forces; this personalist consolidation set the stage for the 1965 civil war.",Low,https://en.wikipedia.org/wiki/Second_Triumvirate_(Dominican_Republic)
Mali,1964,1969,Autocracy deepening,No,Executive aggrandizement,Open-ended coup,22 August 1967,19 November 1968,"President Modibo Keita launched the ""Active Revolution"" on 22 August 1967, suspending the constitution and National Assembly and creating the National Committee for the Defense of the Revolution to rule by decree.","Amid economic hardship, Lieutenant Moussa Traore led a bloodless military coup on 19 November 1968 that overthrew and imprisoned Keita; Traore's junta promised elections that never materialized and he formally became president in 1969.","Keita's already-authoritarian one-party regime deepened further in 1967 under the ""Active Revolution,"" culminating in Traore's November 1968 coup that overthrew Keita entirely and installed a military junta.",High,https://en.wikipedia.org/wiki/Modibo_Keita; https://en.wikipedia.org/wiki/1968_Malian_coup_d'etat
Panama,1964,1969,Autocracy deepening,No,Open-ended coup,NA,11 October 1968,23 February 1969,"National Guard officers led by Major Boris Martinez staged a coup on 11 October 1968, deposing democratically elected President Arnulfo Arias just ten days after his inauguration, suspending civil rights and installing a Provisional Junta.","An internal power struggle culminated on 23 February 1969, when Lt. Col. Omar Torrijos exiled rival strongman Boris Martinez, consolidating personal control over the National Guard and inaugurating a personalist military dictatorship lasting until 1989.","Arnulfo Arias was deposed by the National Guard within days of taking office; a subsequent power struggle within the junta left Omar Torrijos as sole military strongman by early 1969, beginning two decades of military dictatorship in Panama.",High,https://en.wikipedia.org/wiki/1968_Panamanian_coup_d'etat
Somalia,1964,1970,Autocracy deepening,No,Open-ended coup,Election-day fraud,March 1969,1970,"The March 1969 parliamentary elections were fraud-ridden and violent, with more than 25 people killed in election-related violence amid widespread allegations of fraud, deepening perceptions that the ruling Somali Youth League was becoming authoritarian.","President Abdirashid Ali Shermarke was assassinated on 15 October 1969; six days later General Siad Barre's Supreme Revolutionary Council seized power, dissolved parliament and the Supreme Court, and in 1970 declared Somalia a one-party socialist state.","Somalia's slide into military dictatorship began with the fraudulent 1969 election, followed by Shermarke's assassination and Barre's coup, beginning 21 years of military dictatorship.",High,https://en.wikipedia.org/wiki/1969_Somali_coup_d'etat
Zanzibar,1964,1964,Autocracy deepening,No,Open-ended coup,Other/unclear,January 1964,April 1964,"On 12 January 1964, 600-800 mainly African men led by John Okello launched an armed uprising that overthrew Sultan Jamshid bin Abdullah and his Arab-dominated government just a month after independence.","The new revolutionary government banished the Sultan, banned the opposition ZNP and ZPPP parties, installed Abeid Karume as President, and merged Zanzibar with Tanganyika in April 1964 to form Tanzania.","A popular armed uprising overthrew Zanzibar's Sultan and installed a revolutionary one-party government, which soon merged with Tanganyika to form Tanzania.",Medium,https://en.wikipedia.org/wiki/Zanzibar_Revolution
Burundi,1965,1967,Autocracy deepening,No,Open-ended coup,Executive coup,October 1965,November 1966,"A failed Hutu-officer coup attempt on 18-19 October 1965 opened a period of military instability that culminated on 8 July 1966, when Crown Prince Ndizeye's forces ousted PM Leopold Biha's government, suspended the constitution, and installed Ndizeye as King Ntare V with Michel Micombero as premier.","On 28 November 1966, PM Micombero ousted King Ntare V in a second coup, declared an end to the monarchy, and became the first President of the new Republic of Burundi.","A series of coups (1965, July 1966, November 1966) ended Burundi's monarchy and installed Micombero's republic under military-backed rule.",High,https://en.wikipedia.org/wiki/November_1966_Burundian_coup_d'etat
Burkina Faso,1965,1967,Autocracy deepening,No,Open-ended coup,Strategic harassment,January 1966,1967,"President Maurice Yameogo's government announced an austerity budget in December 1965 cutting salaries and raising taxes, then declared a state of emergency and deployed troops against a threatened general strike, provoking mass unrest.","Rank-and-file soldiers refused to fire on protesters, allowing Lt. Col. Sangoule Lamizana to force Yameogo's resignation, suspend the constitution, dissolve the National Assembly, and install a military-dominated council which continued consolidating control through 1967.","President Yameogo's austerity measures triggered mass unrest that the military used as pretext to intervene, installing Lamizana's military government.",Medium,https://en.wikipedia.org/wiki/1966_Upper_Voltan_coup_d'etat
Democratic Republic of the Congo,1965,1966,Autocracy deepening,No,Promissory coup,Executive aggrandizement,November 1965,1966,"A political impasse in which PM-designate Evariste Kimba lost a no-confidence vote but was reappointed anyway by President Kasa-Vubu caused governmental paralysis that Gen. Joseph Mobutu used to seize power on 25 November 1965, canceling scheduled elections while pledging to restore democracy.","Mobutu assumed near-dictatorial powers, framing his takeover as a five-year caretaker mission to restore democratic order -- a promise he never honored -- and by 1966 had abolished the prime ministership.","Mobutu's 1965 coup was explicitly framed as a temporary restoration of order with a promise to return to democracy within five years, a promise he abandoned, entrenching one-man rule.",High,https://en.wikipedia.org/wiki/Second_Mobutu_coup_d'etat
Algeria,1965,1966,Autocracy deepening,No,Open-ended coup,Executive aggrandizement,June 1965,1966,"On 19 June 1965, Defense Minister Col. Houari Boumedienne and allied army officers arrested President Ahmed Ben Bella in a bloodless pre-dawn coup, ending Ben Bella's increasingly personalist rule.","Boumedienne installed himself as Chairman of a new Revolutionary Council and by mid-1966 had reorganized the ruling FLN party, consolidating one-party military-backed rule with Ben Bella under house arrest until 1980.",Boumedienne's bloodless 1965 coup ousted Ben Bella and consolidated military-backed one-party rule in Algeria.,High,https://en.wikipedia.org/wiki/1965_Algerian_coup_d'etat
Argentina,1966,1967,Democratic breakdown,Yes,Open-ended coup,Executive aggrandizement,June 1966,1970,"General Juan Carlos Ongania led the ""Argentine Revolution,"" a military coup on 28 June 1966 that overthrew democratically elected President Arturo Illia, dissolved Congress, and banned all political parties, explicitly rejecting the label of a ""provisional government.""","The regime consolidated authoritarian rule via repression such as the ""Night of the Long Batons"" crackdown on university autonomy; Ongania was forced to resign in 1970 after the 1969 Cordobazo uprising.","General Ongania's 1966 coup ended Argentina's civilian constitutional government and installed an explicitly permanent military dictatorship, banning parties and shutting Congress.",High,https://en.wikipedia.org/wiki/Argentine_Revolution
Philippines,1966,1973,Autocracy deepening,No,Executive coup,Executive aggrandizement,September 1972,January 1973,"President Ferdinand Marcos, first elected 1965 and reelected 1969, signed Proclamation No. 1081 and announced martial law on 23 September 1972, suspending civil and political rights, abolishing Congress, and arresting opposition figures.","A Marcos-dominated Constitutional Convention approved a new charter, ratified by a lopsided plebiscite (95.27% in favor) in January 1973 via citizens' assemblies, formally entrenching Marcos's one-man rule; martial law was not lifted until 1981.","Marcos gradually centralized power before declaring martial law in September 1972, abolishing Congress and banning parties; a lopsided 1973 plebiscite cemented his authoritarian rule for over a decade.",High,https://en.wikipedia.org/wiki/Martial_law_under_Ferdinand_Marcos
Uganda,1966,1972,Autocracy deepening,No,Executive coup,Open-ended coup,February 1966,1972,"On 22 February 1966 PM Milton Obote had five cabinet ministers arrested, then suspended Uganda's 1962 constitution and assumed all executive powers; a new ""Revolutionary"" constitution was pushed through parliament under military guard on 15 April 1966, abolishing the federal structure.","General Idi Amin overthrew Obote in a military coup on 25 January 1971 while Obote was abroad; Amin then purged roughly 5,000 soldiers from the Lango and Acholi ethnic groups by 1972, entrenching a more violent military dictatorship.","PM Obote's 1966 self-coup suspended Uganda's constitution and abolished the federal system, followed by Idi Amin's January 1971 military coup against Obote, which triggered further violent authoritarian consolidation.",Medium,https://en.wikipedia.org/wiki/Milton_Obote
Sierra Leone,1967,1968,Autocracy deepening,No,Promissory coup,Open-ended coup,March 1967,April 1968,"Following the 17 March 1967 general election in which Siaka Stevens' opposition APC narrowly defeated the incumbent SLPP, Brigadier David Lansana staged a coup hours after Stevens was sworn in, arresting him and annulling the election result.","Dissenting officers arrested Lansana two days later and formed the National Reformation Council under Andrew Juxon-Smith, which vowed to restore democracy but ruled by decree for over a year until the 18 April 1968 ""Sergeants' Coup"" installed Siaka Stevens as elected PM.","A narrow opposition election win in March 1967 triggered a coup that annulled the results, then a countercoup, before a final 1968 coup finally seated the elected Stevens government.",High,https://en.wikipedia.org/wiki/1967_Sierra_Leonean_coups_d'etat
Guyana,1968,1974,Autocracy deepening,No,Strategic harassment,Election-day fraud,1968,January 1969,"In the run-up to Guyana's 16 December 1968 general election, PM Forbes Burnham's PNC government, which controlled the electoral machinery, padded voter rolls and manipulated an opaque overseas/postal ballot process to manufacture a parliamentary majority despite Cheddi Jagan's PPP likely winning the domestic vote.",The fraud handed the PNC 30 of 53 seats and its first outright majority; it was exposed in two Granada Television documentaries and set the template for further rigged elections that entrenched PNC one-party dominance through the 1970s.,"Guyana's 1968 election was rigged by the incumbent PNC through voter-roll padding and overseas-ballot manipulation, converting a likely loss into a majority and entrenching one-party rule.",Medium,https://en.wikipedia.org/wiki/1968_Guyanese_general_election
Peru,1968,1969,Autocracy deepening,No,Open-ended coup,NA,October 1968,1969,"In the early hours of 3 October 1968, General Juan Velasco Alvarado led an armored assault on the presidential palace, deposed and exiled elected President Fernando Belaunde amid an oil-contract scandal, and installed a military junta.","Within days the junta nationalized IPC's oil fields, defusing public opposition, and by 1969 was implementing a sweeping state-led ""Peruvian Revolution"" program including agrarian reform, confirming permanent revolutionary rule; the junta held power until 1980.","General Velasco's bloodless coup ousted elected President Belaunde, triggered by a disputed oil contract scandal; rather than promising elections, the junta declared a permanent revolutionary program.",High,https://en.wikipedia.org/wiki/1968_Peruvian_coup_d'etat
Lesotho,1969,1971,Autocracy deepening,No,Executive coup,Election-day fraud,30 January 1970,1971,"PM Leabua Jonathan's ruling BNP lost the January 1970 election to Ntsu Mokhehle's BCP; before results were finalized, Jonathan declared a state of emergency, annulled the election, dissolved parliament, and suspended the constitution.","King Moshoeshoe II, who opposed the coup, was forced into exile for most of 1970; Jonathan then ruled by decree without an elected parliament for over a decade, until deposed in the 1986 military coup.","PM Jonathan staged a self-coup after losing the 1970 election, annulling the results and exiling the king who objected, inaugurating 16 years of unelected rule.",High,https://en.wikipedia.org/wiki/1970_Lesotho_coup_d'etat
Malaysia,1969,1970,Autocracy deepening,No,Executive coup,Strategic harassment,13 May 1969,February 1971,"Sino-Malay race riots erupted in Kuala Lumpur after opposition parties made major gains in the 1969 election; the government declared a state of emergency on 15-16 May 1969, suspended Parliament, and created the National Operations Council to rule by decree.","The NOC governed by decree for about 21 months; Parliament reconvened in February 1971, and constitutional amendments entrenched permanent restrictions on public discussion of ""sensitive"" issues even after normal rule resumed.","Following deadly race riots tied to the 1969 election, Malaysia's government suspended Parliament and ruled by emergency decree for 21 months, permanently narrowing political debate even after resumption.",Medium,https://en.wikipedia.org/wiki/13_May_incident
Sudan,1969,1969,Autocracy deepening,No,Open-ended coup,NA,25 May 1969,1969,"Colonel Gaafar Nimeiry led the Free Officers Movement in a bloodless military coup on 25 May 1969, overthrowing the elected government, dissolving parliament, banning political parties, and establishing a Revolutionary Command Council.",The coup ended Sudan's second democratic era and installed Nimeiry as head of a new government; the regime pursued Nasserist Arab nationalism before Nimeiry consolidated one-man military rule that lasted 16 years.,"A group of army officers overthrew Sudan's elected civilian government, ending its second democratic period and beginning 16 years of military-backed autocratic rule.",High,https://en.wikipedia.org/wiki/1969_Sudanese_coup_d'etat
Zambia,1969,1974,Autocracy deepening,No,Executive aggrandizement,Strategic harassment,17 June 1969,December 1973,"In a June 1969 constitutional referendum (85% in favor), Zambia removed the requirement that fundamental-rights amendments be approved by public referendum, allowing amendments via a two-thirds parliamentary majority alone.","In February 1972 Kaunda banned all opposition parties, making UNIP the sole legal party; a new constitution promulgated August 1973 formalized one-party rule, and single-candidate elections in December 1973 cemented one-party executive rule.","Kaunda dismantled Zambia's multiparty system through a sequence of ostensibly legal steps: a 1969 referendum weakening rights protections, a 1972 party ban, and a 1973 one-party constitution.",High,https://en.wikipedia.org/wiki/1969_Zambian_constitutional_referendum
Benin,1970,1973,Autocracy deepening,No,Open-ended coup,NA,7 May 1970,26 October 1972,"Following a disputed 28 March 1970 election that gave regional pluralities to three rival politicians, Dahomey's leaders brokered a compromise on 7 May 1970 establishing a rotating three-person Presidential Council, each to serve two-year terms.","The Council survived a 1972 coup attempt and Maga's peaceful handover to Ahomadegbe-Tometin, but on 26 October 1972 Major Mathieu Kerekou seized power in a military coup, imprisoning all three council members and ending civilian power-sharing.","A fragile 1970 power-sharing arrangement among three rival politicians was toppled in October 1972 when Major Kerekou seized power in a military coup, installing a long-running military dictatorship.",High,https://en.wikipedia.org/wiki/Mathieu_Kerekou
